state_name,state_abbr,city,name,street,zip,hours,coming_soon
Michigan,MI,Troy,Troy,730 East Big Beaver Road,48083,Mon - Sun 10:30am - 9:00pm,FALSE
Minnesota,MN,Edina,Galleria Edina,3545 Galleria,55435,Mon - Fri 10:00am - 9:00pm Sat - Sun 10:30am - 9:00pm,FALSE
Minnesota,MN,Saint Paul,Grand Ave,735 Grand Avenue,55105,Mon - Sat 10:30am - 8:00pm Sun 10:30am - 7:00pm,FALSE
Minnesota,MN,Bloomington,Mall of America,"316 North Garden, Mall of America",55425,Mon - Sat 10:00am - 9:00pm Sun 11:00am - 7:00pm,FALSE
Minnesota,MN,Minneapolis,North Loop,212 North 3rd Avenue unit 107,55401,Mon - Sun 10:30am - 10:00pm,FALSE
Minnesota,MN,Minneapolis,University of Minnesota,615 Washington Avenue Southeast,55414,Mon - Thu 10:30am - 9:00pm Fri - Sun 10:30am - 8:00pm,FALSE
North Carolina,NC,Huntersville,Birkdale Village,16844 Birkdale Commons Parkway,28078,Mon - Sun 10:30am - 9:00pm,FALSE
North Carolina,NC,Chapel Hill,Chapel Hill,122 East Franklin Street,27514,Mon - Sun 10:00am - 10:00pm,FALSE
North Carolina,NC,Charlotte,Plaza Midwood,1710 Commonwealth Avenue Suite 123,28205,Mon - Sun 10:00am - 10:00pm,FALSE
North Carolina,NC,Raleigh,Raleigh North Hills,"4158 Main at North Hills St, Suite 103",27609,Mon - Sun 10:00am - 9:00pm,FALSE
North Carolina,NC,Charlotte,Uptown Charlotte,"101 North Tryon Street, Suite 101",28202,Mon - Fri 10:30am - 10:00pm Sat - Sun 10:30am - 9:00pm,FALSE
North Carolina,NC,West Cary,West Cary Coming soon,5340 Arco Street Suite 100,27519,NA,TRUE
New Hampshire,NH,Bedford,Bedford,7 Market Street Suite 2,03110,Mon - Sun 10:00am - 9:00pm,FALSE
New Hampshire,NH,Salem,Tuscan Village,"17 Artisan Drive, Suite 1130",03079,Mon - Fri 10:30am - 9:00pm Sat - Sun 10:30am - 8:00pm,FALSE
New Jersey,NJ,Hoboken,Hoboken,218 Washington Street,07030,Mon - Fri 10:00am - 9:00pm Sat - Sun 11:00am - 9:00pm,FALSE
New Jersey,NJ,Jersey City,Jersey City,90 Hudson St.,07302,Mon - Sun 10:30am - 10:00pm,FALSE
New Jersey,NJ,Marlton,Marlton,"500 Route 73 South, Suite A28",08053,Mon - Sun 10:30am - 8:00pm,FALSE
New Jersey,NJ,Montclair,Montclair,460 Bloomfield Avenue units 1E & 1D,07042,Mon - Sat 10:30am - 10:00pm Sun 10:30am - 9:00pm,FALSE
New Jersey,NJ,Montvale,Montvale,340 Market Street,07645,Mon - Fri 10:30am - 8:00pm Sat - Sun 10:30am - 7:00pm,FALSE
New Jersey,NJ,Morristown,Morristown,"110 Morris Street, Suite 1",07960,Mon - Sun 10:30am - 7:00pm,FALSE
New Jersey,NJ,Princeton,Princeton Coming soon,"3535 Brunswick Pike, Suite 466",08540,Mon - Sun 10:00am - 10:00pm,TRUE
New Jersey,NJ,Hackensack,Shops at Riverside,"380-390 Hackensack Ave, Space 169",07601,Mon - Sun 10:30am - 10:00pm,FALSE
New Jersey,NJ,Shrewsbury,Shrewsbury,575 Broad Street,07702,Mon - Sun 10:30am - 8:00pm,FALSE
New Jersey,NJ,Westfield,Westfield,221 East Broad Street,07090,Mon - Sun 10:30am - 9:00pm,FALSE
New York,NY,New York,12th + University,101 University Pl,10003,Mon - Sun 10:30am - 9:00pm,FALSE
New York,NY,New York,23rd + Park,27 East 23rd Street,10010,Mon - Sun 10:30am - 9:00pm,FALSE
